internet,popularity,title,year
http://www.metrolyrics.com/fireplace-lyrics-rem.html,width:6%;,Fireplace Lyrics,2008
http://www.metrolyrics.com/first-we-take-manhattan-lyrics-rem.html,width:6%;,First We Take Manhattan Lyrics,2006
http://www.metrolyrics.com/fretless-lyrics-rem.html,width:21.755319103969%;,Fretless Lyrics,2014
http://www.metrolyrics.com/funtime-lyrics-rem.html,width:6%;,Funtime Lyrics,2006
http://www.metrolyrics.com/furry-happy-monsters-lyrics-rem.html,width:6%;,Furry Happy Monsters Lyrics,2007
http://www.metrolyrics.com/future-40s-string-of-pearls-lyrics-rem.html,width:41.178234363408%;,Future 40's (string Of Pearls) Lyrics,2006
http://www.metrolyrics.com/gardening-at-night-lyrics-rem.html,width:21.755319103969%;,Gardening At Night Lyrics,2011
http://www.metrolyrics.com/get-up-lyrics-rem.html,width:6%;,Get Up Lyrics,2011
http://www.metrolyrics.com/ghost-rider-lyrics-rem.html,width:6%;,Ghost Rider Lyrics,2006
http://www.metrolyrics.com/good-advices-lyrics-rem.html,width:6%;,Good Advices Lyrics,2006
http://www.metrolyrics.com/green-grow-the-rushes-lyrics-rem.html,width:13.726078121136%;,Green Grow The Rushes Lyrics,2006
http://www.metrolyrics.com/hairshirt-lyrics-rem.html,width:6%;,Hairshirt Lyrics,2006
http://www.metrolyrics.com/half-a-world-away-lyrics-rem.html,width:6%;,Half A World Away Lyrics,2014
http://www.metrolyrics.com/hallellujah-lyrics-rem.html,width:6%;,Hallellujah Lyrics,2011
http://www.metrolyrics.com/hallelujah-lyrics-rem.html,width:6%;,Hallelujah Lyrics,2011
http://www.metrolyrics.com/harborcoat-lyrics-rem.html,width:6%;,Harborcoat Lyrics,2006
http://www.metrolyrics.com/hey-hey-nadine-lyrics-rem.html,width:6%;,"Hey, Hey, Nadine Lyrics",2006
http://www.metrolyrics.com/high-speed-train-lyrics-rem.html,width:6%;,High Speed Train Lyrics,2004
http://www.metrolyrics.com/hollow-man-lyrics-rem.html,width:27.452156242272%;,Hollow Man Lyrics,2008
http://www.metrolyrics.com/hope-lyrics-rem.html,width:6%;,Hope Lyrics,2006
http://www.metrolyrics.com/horse-to-water-lyrics-rem.html,width:21.755319103969%;,Horse To Water Lyrics,2008
http://www.metrolyrics.com/houston-lyrics-rem.html,width:13.726078121136%;,Houston Lyrics,2008
